Mes,ME/USD,Moneda,Anho,G/ME
8,"8,3711",ZAR,2001,"514,87"
8,"1,2825",SDR,2001,"5.527,58"
8,"274,4000",XAU,2001,"1.182.664,00"
8,"737,0100",VEF,2001,"5,85"
8,"661,7000",CLP,2001,"6,51"
8,"0,9166",EUR,2001,"3.950,55"
8,"13,3200",UYU,2001,"323,57"
9,"1,0000",USD,2001,"4.455,00"
9,"2,1264",DEM,2001,"2.095,09"
9,"119,8000",JPY,2001,"37,19"
9,"1,4734",GBP,2001,"6.564,00"
9,"1,6097",CHF,2001,"2.767,60"
9,"7,1315",FRF,2001,"624,69"
9,"10,7014",SEK,2001,"416,30"
9,"2,3959",NLG,2001,"1.859,43"
9,"8,0860",DKK,2001,"550,95"
9,"180,8900",ESP,2001,"24,63"
9,"8,8141",NOK,2001,"505,44"
9,"14,9601",ATS,2001,"297,79"
9,"2.105,1000",ITL,2001,"2,12"
9,"43,8570",BEF,2001,"101,58"
9,"2,7100",BRL,2001,"1.643,91"
9,"0,9999",ARS,2001,"4.455,45"
9,"1,5786",CAD,2001,"2.822,12"
9,"8,9785",ZAR,2001,"496,19"
9,"1,2904",SDR,2001,"5.748,73"
9,"290,3000",XAU,2001,"1.293.286,50"
9,"742,5000",VEF,2001,"6,00"
9,"696,3000",CLP,2001,"6,40"
9,"0,9193",EUR,2001,"4.095,48"
9,"13,5900",UYU,2001,"327,81"
10,"1,0000",USD,2001,"4.580,00"
10,"2,1500",DEM,2001,"2.130,23"
10,"121,6300",JPY,2001,"37,66"
10,"1,4588",GBP,2001,"6.681,30"
10,"1,6160",CHF,2001,"2.834,16"
10,"7,2107",FRF,2001,"635,17"
10,"10,5592",SEK,2001,"433,75"
10,"2,4225",NLG,2001,"1.890,61"
10,"8,1788",DKK,2001,"559,98"
10,"182,9000",ESP,2001,"25,04"
10,"8,7752",NOK,2001,"521,93"
10,"15,1262",ATS,2001,"302,79"
10,"2.128,4700",ITL,2001,"2,15"
10,"44,3440",BEF,2001,"103,28"
10,"2,7190",BRL,2001,"1.684,44"
10,"0,9997",ARS,2001,"4.581,37"
10,"1,5760",CAD,2001,"2.906,09"
10,"9,3607",ZAR,2001,"489,28"
10,"1,2788",SDR,2001,"5.856,90"
10,"280,4000",XAU,2001,"1.284.232,00"
10,"743,0000",VEF,2001,"6,16"
10,"716,3500",CLP,2001,"6,39"
10,"0,9094",EUR,2001,"4.165,05"
10,"13,9600",UYU,2001,"328,08"
11,"1,0000",USD,2001,"4.700,00"
11,"2,1990",DEM,2001,"2.137,34"
11,"123,1800",JPY,2001,"38,16"
11,"1,4243",GBP,2001,"6.694,21"
11,"1,6516",CHF,2001,"2.845,73"
11,"7,3753",FRF,2001,"637,26"
11,"10,6479",SEK,2001,"441,40"
11,"2,4777",NLG,2001,"1.896,92"
11,"8,3657",DKK,2001,"561,82"
11,"187,0800",ESP,2001,"25,12"
11,"8,9477",NOK,2001,"525,27"
11,"15,4714",ATS,2001,"303,79"
11,"2.177,0500",ITL,2001,"2,16"
11,"45,3560",BEF,2001,"103,62"
11,"2,4900",BRL,2001,"1.887,55"
11,"0,9982",ARS,2001,"4.708,48"
11,"1,5805",CAD,2001,"2.973,74"
11,"10,1220",ZAR,2001,"464,34"
11,"1,2670",SDR,2001,"5.954,90"
11,"274,4000",XAU,2001,"1.289.680,00"
11,"746,0000",VEF,2001,"6,30"
11,"680,9000",CLP,2001,"6,90"
11,"0,8889",EUR,2001,"4.177,83"
11,"13,7700",UYU,2001,"341,32"
12,"1,0000",USD,2001,"4.635,00"
12,"2,2233",DEM,2001,"2.084,74"
12,"131,2200",JPY,2001,"35,32"
12,"1,4444",GBP,2001,"6.694,79"
12,"1,6822",CHF,2001,"2.755,32"
12,"7,4566",FRF,2001,"621,60"
12,"10,5634",SEK,2001,"438,78"
12,"2,5051",NLG,2001,"1.850,23"
12,"8,4531",DKK,2001,"548,32"
12,"189,1400",ESP,2001,"24,51"
12,"9,0400",NOK,2001,"512,72"
12,"15,6420",ATS,2001,"296,32"
12,"2.201,0600",ITL,2001,"2,11"
12,"45,8560",BEF,2001,"101,08"
12,"2,3240",BRL,2001,"1.994,41"
12,"0,9990",ARS,2001,"4.639,64"
12,"1,5954",CAD,2001,"2.905,23"
12,"11,9500",ZAR,2001,"387,87"
12,"1,2544",SDR,2001,"5.814,14"
12,"276,5000",XAU,2001,"1.281.577,50"
12,"766,0000",VEF,2001,"6,05"
12,"658,5000",CLP,2001,"7,04"
12,"0,8793",EUR,2001,"4.075,56"
12,"13,9000",UYU,2001,"333,45"
1,"1,0000",USD,2002,"4.835,00"
1,"2,2674",DEM,2002,"2.132,40"
1,"132,9500",JPY,2002,"36,37"
1,"1,4129",GBP,2002,"6.831,37"
1,"1,7060",CHF,2002,"2.834,11"
1,"7,6044",FRF,2002,"635,82"
1,"10,6390",SEK,2002,"454,46"
1,"2,5547",NLG,2002,"1.892,59"
1,"8,6079",DKK,2002,"561,69"
1,"192,8900",ESP,2002,"25,07"
1,"9,0713",NOK,2002,"533,00"
1,"15,9521",ATS,2002,"303,09"
1,"2.244,6900",ITL,2002,"2,15"
1,"46,7650",BEF,2002,"103,39"
1,"2,4350",BRL,2002,"1.985,63"
1,"1,7700",ARS,2002,"2.731,64"
1,"1,5881",CAD,2002,"3.044,52"
1,"11,4350",ZAR,2002,"422,82"
1,"1,2439",SDR,2002,"6.014,26"
